Code,Description
L89.206,Pressure ulcer of unspecified hip, deep tissue damage
L89.209,Pressure ulcer of unspecified hip, unspecified stage
L89.210,Pressure ulcer of right hip, unstageable
L89.211,Pressure ulcer of right hip, stage 1
L89.212,Pressure ulcer of right hip, stage 2
L89.213,Pressure ulcer of right hip, stage 3
L89.214,Pressure ulcer of right hip, stage 4
L89.216,Pressure ulcer of right hip, deep tissue damage
L89.219,Pressure ulcer of right hip, unspecified stage
L89.220,Pressure ulcer of left hip, unstageable
L89.221,Pressure ulcer of left hip, stage 1
L89.222,Pressure ulcer of left hip, stage 2
L89.223,Pressure ulcer of left hip, stage 3
L89.224,Pressure ulcer of left hip, stage 4
L89.226,Pressure ulcer of left hip, deep tissue damage
L89.229,Pressure ulcer of left hip, unspecified stage
L89.300,Pressure ulcer of unspecified buttock, unstageable
L89.301,Pressure ulcer of unspecified buttock, stage 1
L89.302,Pressure ulcer of unspecified buttock, stage 2
L89.303,Pressure ulcer of unspecified buttock, stage 3
L89.304,Pressure ulcer of unspecified buttock, stage 4
L89.306,Pressure ulcer of unspecified buttock, deep tissue damage
L89.309,Pressure ulcer of unspecified buttock, unspecified stage
L89.310,Pressure ulcer of right buttock, unstageable
L89.311,Pressure ulcer of right buttock, stage 1
L89.312,Pressure ulcer of right buttock, stage 2
L89.313,Pressure ulcer of right buttock, stage 3
L89.314,Pressure ulcer of right buttock, stage 4
L89.316,Pressure ulcer of right buttock, deep tissue damage
L89.319,Pressure ulcer of right buttock, unspecified stage
L89.320,Pressure ulcer of left buttock, unstageable
L89.321,Pressure ulcer of left buttock, stage 1
L89.322,Pressure ulcer of left buttock, stage 2
L89.323,Pressure ulcer of left buttock, stage 3
L89.324,Pressure ulcer of left buttock, stage 4
L89.326,Pressure ulcer of left buttock, deep tissue damage
L89.329,Pressure ulcer of left buttock, unspecified stage
L89.40,Pressure ulcer of contiguous site of back, buttock and hip, unspecified stage
L89.41,Pressure ulcer of contiguous site of back, buttock and hip, stage 1
L89.42,Pressure ulcer of contiguous site of back, buttock and hip, stage 2
L89.43,Pressure ulcer of contiguous site of back, buttock and hip, stage 3
L89.44,Pressure ulcer of contiguous site of back, buttock and hip, stage 4
L89.45,Pressure ulcer of contiguous site of back, buttock and hip, unstageable
L89.46,Pressure ulcer of contiguous site of back, buttock and hip, deep tissue damage
L89.500,Pressure ulcer of unspecified ankle, unstageable
L89.501,Pressure ulcer of unspecified ankle, stage 1
L89.502,Pressure ulcer of unspecified ankle, stage 2
L89.503,Pressure ulcer of unspecified ankle, stage 3
L89.504,Pressure ulcer of unspecified ankle, stage 4
L89.506,Pressure ulcer of unspecified ankle, deep tissue damage
L89.509,Pressure ulcer of unspecified ankle, unspecified stage
L89.510,Pressure ulcer of right ankle, unstageable
L89.511,Pressure ulcer of right ankle, stage 1
L89.512,Pressure ulcer of right ankle, stage 2
L89.513,Pressure ulcer of right ankle, stage 3
L89.514,Pressure ulcer of right ankle, stage 4
L89.516,Pressure ulcer of right ankle, deep tissue damage
L89.519,Pressure ulcer of right ankle, unspecified stage
L89.520,Pressure ulcer of left ankle, unstageable
L89.521,Pressure ulcer of left ankle, stage 1
L89.522,Pressure ulcer of left ankle, stage 2
L89.523,Pressure ulcer of left ankle, stage 3
L89.524,Pressure ulcer of left ankle, stage 4
L89.526,Pressure ulcer of left ankle, deep tissue damage
L89.529,Pressure ulcer of left ankle, unspecified stage
L89.600,Pressure ulcer of unspecified heel, unstageable
L89.601,Pressure ulcer of unspecified heel, stage 1
L89.602,Pressure ulcer of unspecified heel, stage 2
L89.603,Pressure ulcer of unspecified heel, stage 3
L89.604,Pressure ulcer of unspecified heel, stage 4
L89.606,Pressure ulcer of unspecified heel, deep tissue damage
L89.609,Pressure ulcer of unspecified heel, unspecified stage
L89.610,Pressure ulcer of right heel, unstageable
L89.611,Pressure ulcer of right heel, stage 1
L89.612,Pressure ulcer of right heel, stage 2
L89.613,Pressure ulcer of right heel, stage 3
L89.614,Pressure ulcer of right heel, stage 4
L89.616,Pressure ulcer of right heel, deep tissue damage
L89.619,Pressure ulcer of right heel, unspecified stage
L89.620,Pressure ulcer of left heel, unstageable
L89.621,Pressure ulcer of left heel, stage 1
L89.622,Pressure ulcer of left heel, stage 2
L89.623,Pressure ulcer of left heel, stage 3
L89.624,Pressure ulcer of left heel, stage 4
L89.626,Pressure ulcer of left heel, deep tissue damage
L89.629,Pressure ulcer of left heel, unspecified stage
L89.810,Pressure ulcer of head, unstageable
L89.811,Pressure ulcer of head, stage 1
L89.812,Pressure ulcer of head, stage 2
L89.813,Pressure ulcer of head, stage 3
L89.814,Pressure ulcer of head, stage 4
L89.816,Pressure ulcer of head, deep tissue damage
L89.819,Pressure ulcer of head, unspecified stage
L89.890,Pressure ulcer of other site, unstageable
L89.891,Pressure ulcer of other site, stage 1
L89.892,Pressure ulcer of other site, stage 2
L89.893,Pressure ulcer of other site, stage 3
L89.894,Pressure ulcer of other site, stage 4
L89.896,Pressure ulcer of other site, deep tissue damage
L89.899,Pressure ulcer of other site, unspecified stage
L89.90,Pressure ulcer of unspecified site, unspecified stage
L89.91,Pressure ulcer of unspecified site, stage 1
L89.92,Pressure ulcer of unspecified site, stage 2
L89.93,Pressure ulcer of unspecified site, stage 3
L89.94,Pressure ulcer of unspecified site, stage 4
L89.95,Pressure ulcer of unspecified site, unstageable
L89.96,Pressure ulcer of unspecified site, deep tissue damage
