"File Path","Type","Severity","Message","Suggestion"
"resources\js\Pages\QuickRequest\Components\Step8OrderFormApproval.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step7FinalSubmission.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step7DocuSealIVR.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step6ReviewSubmit.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step5ProductSelection.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step4Confirmation.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step4ClinicalBilling.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step3Documentation.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step2ProductSelection.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\Step1PatientInfoNew.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\Components\OrderReviewSummary.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\ProviderInvitations\Index.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\Providers\Index.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\Providers\Create.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\Organizations\Show.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\Organizations\Edit.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\OrderCenter\EnhancedDashboard.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\CustomerManagement\OrganizationEdit.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Admin\CustomerManagement\OrganizationDetail.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
