PAYER NAME,PAYER ID
Administration Systems Research Health Benefits,38265
Administration Systems Research Health Benefits,38265
"Administrative Claim Service, Inc.",J1005
Administrative Concepts Inc.,22384
Administrative Concepts Inc.,22384
Administrative Concepts Inc.,22384
Administrative Services Inc,59141
Administrative Services Inc,59141
Administrative Services Inc,ADMIN-SERVICES
AdminOne,37278
AdminOne,37278
AdminOne,37278
Advance America Cash Advance Centers - CORVEL,J1843
"Advance Services, Inc.",J1608
Advanced Medical Doctors of CA,AMDC1
Advanced Medical Doctors of CA,AMDC1
Advanced Physicians IPA,NMM01
Advanced Physicians IPA,NMM01
Advanced Physicians IPA,NMM01
"Advanstaff, Inc.",74234
Advantage by Bridgeway Health Solutions,ADVBHS
Advantage by Bridgeway Health Solutions,ADVBHS
Advantage Care IPA,ACIPA
Advantage Care IPA,ACIPA
Advantage Health Solutions (Careington),60601
Advantage Medical Group,NMM01
Advantage Medical Group,NMM01
Advantage Medical Group,NMM01
Advantek Benefit Administrators (SANTE),ADVTK
Advantek Benefit Administrators (SANTE),ADVTK
Advantek Benefit Administrators (SANTE),ADVTK
Advantica,43168
Advent Health Medical Corporation,AHMC1
Advent Health Medical Corporation,AHMC1
Advent Health Medical Corporation,AHMC1
"ADVENTIST HEALTH CARE NETWORK, INC",MPM51
"ADVENTIST HEALTH CARE NETWORK, INC",MPM51
Adventist Health Hanford AHP,MPM36
Adventist Health Hanford AHP,MPM36
Adventist Health Plan,MPM37
Adventist Health Plan,MPM37
Adventist Health System West,95340
Adventist Health System West,95340
Adventist Health System West,95340
Adventist White Memorial - Southland San Gabriel Valley,MPM34
Adventist White Memorial - Southland San Gabriel Valley,MPM34
Advisory Health Administrators,CB159
Advisory Health Administrators,CB159
"Advocare MCO, Inc",J1896
Advocate Health Centers,36320
Advocate Health Centers,36320
Advocate Health Partners,65093
Advocate Health Partners,65093
Advocate Health Partners,65093
Aegis Administrative Services,CB637
Aegis Administrative Services,CB637
Aetna Advantage,60054
Aetna Advantage,60054
Aetna Advantage,60054
Aetna Advantage,60054
Aetna Affordable Health Choices - SRC/Boone,60054
Aetna Affordable Health Choices - SRC/Boone,60054
Aetna Affordable Health Choices - SRC/Boone,60054
Aetna Affordable Health Choices - SRC/Boone,60054
Aetna Better Health California,ABH-CA
Aetna Better Health Florida,128FL
Aetna Better Health Florida,128FL
Aetna Better Health Florida,128FL
Aetna Better Health Florida,ABH-FL
Aetna Better Health Illinois,68024
Aetna Better Health Illinois,68024
Aetna Better Health Illinois,68024
Aetna Better Health Illinois,ABH-IL
Aetna Better Health Illinois MMAI,26337
Aetna Better Health Illinois MMAI,26337
Aetna Better Health Illinois MMAI,26337
Aetna Better Health Kansas,128KS
Aetna Better Health Kansas,128KS
Aetna Better Health Kansas,128KS
Aetna Better Health Kansas,ABH-KS
Aetna Better Health Kentucky,128KY
Aetna Better Health Kentucky,128KY
Aetna Better Health Kentucky,128KY
Aetna Better Health Kentucky,ABH-KY
Aetna Better Health Louisiana,128LA
Aetna Better Health Louisiana,128LA
Aetna Better Health Louisiana,128LA
Aetna Better Health Louisiana,ABH-LA
Aetna Better Health Maryland,128MD
Aetna Better Health Maryland,128MD
Aetna Better Health Maryland,128MD
Aetna Better Health Maryland,ABH-MD
Aetna Better Health Michigan,128MI
Aetna Better Health Michigan,128MI
Aetna Better Health Michigan,128MI
Aetna Better Health Michigan,ABH-MI
Aetna Better Health Nevada,ABH-NV
Aetna Better Health New Jersey,46320
Aetna Better Health New Jersey,46320
Aetna Better Health New Jersey,46320
Aetna Better Health New Jersey,ABH-NJ
Aetna Better Health New York,34734
Aetna Better Health New York,34734
Aetna Better Health New York,34734
Aetna Better Health New York,ABH-NY
Aetna Better Health of Oklahoma,128OK
Aetna Better Health Ohio,50023
Aetna Better Health Ohio,50023
Aetna Better Health Ohio,50023
Aetna Better Health Ohio,ABH-OH
Aetna Better Health Oklahoma,128OK
Aetna Better Health Oklahoma,128OK
Aetna Better Health Oklahoma,ABH-OK
Aetna Better Health Pennsylvania,23228
Aetna Better Health Pennsylvania,23228
Aetna Better Health Pennsylvania,23228
Aetna Better Health Pennsylvania,ABH-PA
Aetna Better Health Texas,38692
Aetna Better Health Texas,38692
Aetna Better Health Texas,38692
Aetna Better Health Texas,ABH-TX
Aetna Better Health Texas CHIP,ABH-TX-CHIP
Aetna Better Health Virginia,128VA
Aetna Better Health Virginia,128VA
Aetna Better Health Virginia,128VA
Aetna Better Health Virginia,ABH-VA
Aetna Better Health West Virginia,128WV
Aetna Better Health West Virginia,128WV
Aetna Better Health West Virginia,128WV
Aetna Better Health West Virginia,128WV
Aetna Better Health West Virginia,ABH-WV
Aetna Choice Plans,60054
Aetna Choice Plans,60054
Aetna Choice Plans,60054
Aetna Choice Plans,60054
Aetna DMO,68246
Aetna Employee Assistance Program EAP,EAP20
Aetna Encounters,60055
"Aetna Health, Inc.",60054
"Aetna Health, Inc.",60054
"Aetna Health, Inc.",60054
"Aetna Health, Inc.",60054
Aetna Healthcare,00002
Aetna Healthcare,60054
Aetna Healthcare,60054
Aetna Healthcare,60054
Aetna Healthcare,60054
Aetna Healthcare,60054
Aetna HealthFund,60054
Aetna HealthFund,60054
Aetna HealthFund,60054
Aetna HealthFund,60054
Aetna Life & Casualty Company,60054
Aetna Life & Casualty Company,60054
Aetna Life & Casualty Company,60054
Aetna Life & Casualty Company,60054
Aetna Life Insurance Company,60054
Aetna Life Insurance Company,60054
Aetna Life Insurance Company,60054
Aetna Life Insurance Company,60054
Aetna Long Term Care,AETNA-LTC
Aetna Medicaid Plans,60054
Aetna Medicaid Plans,60054
Aetna Medicaid Plans,60054
Aetna Medicaid Plans,60054
Aetna Medicare,60054
Aetna Medicare,60054
Aetna Medicare,60054
Aetna Medicare,60054
Aetna Retiree Medical Plan - Administrator,AETNA-RETIREE
Aetna Senior Plans,60054
Aetna Senior Plans,60054
Aetna Senior Plans,60054
Aetna Senior Plans,60054
Aetna Senior Supplemental,62118
Aetna Signature Administrators (ASA),60054
Aetna Signature Administrators (ASA),60054
Aetna Signature Administrators (ASA),60054
Aetna Signature Administrators (ASA),60054
Aetna Student Health,60054
Aetna Student Health,60054
Aetna Student Health,60054
Aetna Student Health,60054
Aetna TX Medicaid and CHIP,38692
Aetna TX Medicaid and CHIP,38692
Aetna TX Medicaid and CHIP,38692
Aetna US Healthcare - AUSHC,60054
Aetna US Healthcare - AUSHC,60054
Aetna US Healthcare - AUSHC,60054
Aetna US Healthcare - AUSHC,60054
Aetna US Healthcare - AUSHC,AETNA-USHC
Affiliated Doctor's of Orange County (ADOC) (Regal),ADOCS
Affiliated Doctor's of Orange County (ADOC) (Regal),ADOCS
Affiliated Partners IPA,POP09
Affiliated Partners IPA SCAN/CleverCare HP Only,APIPA
Affiliated Partners IPA SCAN/CleverCare HP Only,APIPA
Affiliated Physicians IPA,POP06
Affinity Health Plan,13334
Affinity Health Plan,13334
Affinity Health Plan,13334
Affinity Medical Group,46594
Affinity Medical Group,46594
Aflac Benefits Solutions,ABS01
Aflac Dental,AFLACD
Aflac Medicare Supplement,AFLAC-MEDSUPP
Aflac Medicare Supplement,AFLAC-MEDSUPP
AFTRA Health & Retirement Funds,62308
AFTRA Health & Retirement Funds,62308
AFTRA Health & Retirement Funds,62308
Aftra Health Fund,10015
Agency Services Inc.,64158
Agency Services Inc.,64158
Agency Services Inc.,64158
AgeRight Advantage,ARA01
AgeRight Advantage,ARA01
AgeRight Advantage,ARA01
"AGIA, Inc.",AGIAI
AHF PHC California Medi-Cal,95422
AHF PHC California Medi-Cal,95422
AHF PHC California Medi-Cal,95422
AHF PHC California Medi-Cal,95422
AHF Ryan White Grants,95433
AHF Ryan White Grants,95433
AHF Ryan White Grants,95433
AHF Ryan White Grants,95433
AHP Provider Network,MPM38
AHP Provider Network,MPM38
AHRMA (IL only) - CORVEL,J3958
AIG,19402
Aither Health,64884
Aither Health,64884
AKM Medical Group,CAPMN
AKM Medical Group,CAPMN
AKM Medical Group,CAPMN
AL-MED HCLA,MPM28
AL-MED HCLA,MPM28
Alameda Alliance for Health,95327
Alameda Alliance for Health,95327
Alameda Alliance for Health,95327
Alamitos IPA ,CAPMN
Alamitos IPA ,CAPMN
Alamitos IPA ,CAPMN
Alarm Contractors,J3859
"Alaska Children''s Services, Inc. Group #P68",91136
"Alaska Children''s Services, Inc. Group #P68",91136
Alaska Electrical Health & Welfare Fund,60054
Alaska Electrical Health & Welfare Fund,60054
Alaska Electrical Health & Welfare Fund,60054
Alaska National Insurance,J1577
Alaska Pipe Trades Local 375 Group # F24,91136
Alaska Pipe Trades Local 375 Group # F24,91136
Alaska UFCW Health & Welfare Trust Group # F45,91136
Alaska UFCW Health & Welfare Trust Group # F45,91136
Albuquerque Public Schools,85600
Albuquerque Public Schools,85600
Albuquerque Public Schools,85600
Albuquerque Public Schools,APS
Alcoa Fasteners Systems,J1244
Alexian Pace,R3471
Alexian Pace,R3471
Alexian Pace,R3471
ALICARE,13550
ALICARE,13550
ALICARE,13550
Align Senior Care (FL),ASFL1
Align Senior Care (FL),ASFL1
Align Senior Care (FL),ASFL1
Align Senior Care (MI),ASMI1
Align Senior Care (MI),ASMI1
Align Senior Care (MI),ASMI1
Align Senior Care (VA),ASVA1
Align Senior Care (VA),ASVA1
Align Senior Care CA,ASCA1
Align Senior Care CA,ASCA1
Align Senior Care CA,ASCA1
Aligned Community Physicians,ACP17
Aligned Community Physicians,ACP17
Alignis,58213
Alignment Health,ALIGN
Alignment Health Care (Fee For Service),CCHPC
Alignment Health Care (Fee For Service),CCHPC
Alignment Health Care (Fee For Service),CCHPC
Alignment Health Plan (Fee For Service),CCHPC
Alignment Health Plan (Fee For Service),CCHPC
Alignment Health Plan (Fee For Service),CCHPC
Alivi Health,ALIVI
Alivi Therapy Network,ATNET
ALL American Medical Group,AAMG1
ALL American Medical Group,AAMG1
ALL American Medical Group,AAMG1
All Care Medical Group,ALLCA
All Care Medical Group,ALLCA
All Care Medical Group,ALLCA
All United Medical Group,AUMG1
All United Medical Group,AUMG1
All United Medical Group,AUMG1
All United Medical Group - Guidant,AUMG3
All United Medical Group - Guidant,AUMG3
AllCare CCO Dental,ALLCD
AllCare IPA,AC101
AllCare IPA,AC101
AllCare PACE,ACPCE
AllCare PACE,ACPCE
AllCare PEBB,26158
AllCare PEBB,26158
Allegeant,52193
Allegiance Benefit Plan Management Inc.,81040
Allegiance Benefit Plan Management Inc.,81040
Allegiance Benefit Plan Management Inc.,81040
Allegiance Benefit Plan Management Inc.,ABPM
Allegiance Benefit Plan Management Inc.,ABPM
Allen Canning,J1740
Alliance Behavioral Health,23071
Alliance Behavioral Health,23071
Alliance Behavioral Health,23071
Alliance Coal Health Plan,93658
Alliance Coal Health Plan,93658
Alliance Coal Health Plan,ALLIANCE-COAL
Alliance Health Systems,CAPMN
Alliance Health Systems,CAPMN
Alliance Health Systems,CAPMN
Alliance Physicians High Desert,22417
Alliance Physicians High Desert,22417
Alliance Physicians High Desert,22417
Alliance Physicians Medical Group,APP01
Alliance Physicians Medical Group,APP01
Alliance Physicians Medical Group,APP01
Alliant Energy,J1619
Alliant Health Plans of Georgia,58234
Alliant Health Plans of Georgia,58234
Alliant Health Plans of Georgia,58234
Allianz ,J1452
Allianz Resolution Management (ARM) ,J2326
"Allied Benefit Systems, Inc.",37308
"Allied Benefit Systems, Inc.",37308
"Allied Benefit Systems, Inc.",37308
"Allied Benefit Systems, Inc.",ABSYS
"Allied Claims Administration, Inc.",J1733
Allied Healthcare,AllCA
Allied Healthcare,AllCA
Allied Pacific of California,NMM01
Allied Pacific of California,NMM01
Allied Pacific of California,NMM01
Allied Physicians Medical Group,NMM01
Allied Physicians Medical Group,NMM01
Allied Physicians Medical Group,NMM01
Allied Property and Casualty Ins Co,J1550
Allina Health Aetna,54398
Allina Health Aetna,54398
Allina Health Aetna,ALLINA
Allina Health Aetna,ALLINA
Allmerica Financial Benefits Insurance Company,J1589
​Allstate - NJ Only,C1089
Allstate Insurance,C1037
Aloha Care,99030
Aloha Care,99030
Aloha Care,99030
Aloha Care,ALOHA
Alpha Care Medical Group NMM,NMM04
Alpha Care Medical Group NMM,NMM04
Alpha Care Medical Group NMM,NMM04
Alta Bates Medical Group,A0701
Alta Bates Medical Group,A0701
ALTA Health & Life Insurance,62308
ALTA Health & Life Insurance,62308
ALTA Health & Life Insurance,62308
Altais Care Network,ACN01
AltaMed,ALTAM
AltaMed,ALTAM
AltaMed,ALTAM
AltaMed,ALTAM
Alternative Insurance Resources,IHS06
Alternative Insurance Resources,IHS06
"Alternative Insurance Resources, Inc.",ALT-INS-RESOURSE
Alternative Opportunities,16089
Alternative Opportunities,16089
Alterwood Advantage,RP016
Alterwood Advantage,RP016
Altus Dental,50503
Alvey Systems (AON Risk),J1025
AMA Insurance,THO71
Amada Health,AMDA1
Amada Health,AMDA1
Amada Health,AMDA1
Amada Health Alameda,AMDA3
Amada Health Alameda,AMDA3
Amada Health Alameda,AMDA3
Amada Health South,AMDA2
Amada Health South,AMDA2
Amada Health South,AMDA2
Amalgamated Insurance Company,13550
Amalgamated Insurance Company,13550
Amalgamated Insurance Company,13550
Amalgamated Life,13550
Amalgamated Life,13550
Amalgamated Life,13550
AMBETTER (Centene),AMBETTER
AMBETTER (Centene),AMBETTER
Ambetter from Meridian,68069
Ambetter from Meridian,68069
Ambetter from Meridian,68069
Ambetter of Arkansas (Centene),68069
Ambetter of Arkansas (Centene),68069
Ambetter of Arkansas (Centene),68069
Ambetter of Missouri (Centene),68069
Ambetter of Missouri (Centene),68069
Ambetter of Missouri (Centene),68069
Ambetter of New Hampshire (Centene),68069
Ambetter of New Hampshire (Centene),68069
Ambetter of New Hampshire (Centene),68069
Ambetter of Tennessee (Centene),68069
Ambetter of Tennessee (Centene),68069
Ambetter of Tennessee (Centene),68069
AMCO Ins Co,J1550
"Ameriben Solutions, Inc.",75137
"Ameriben Solutions, Inc.",75137
"Ameriben Solutions, Inc.",75137
"Ameriben Solutions, Inc.",AMERIBEN
America First ,J1427
America's Choice Healthplan,20029
America's Choice Healthplan,20029
America's Choice Healthplan,20029
America's Health Choice,20029
America's Health Choice,20029
America's Health Choice,20029
America's PPO/America's TPA,41178
American Administrative Group,75240
American Administrative Group,75240
American Airlines,J2000
American Behavioral,63103
American Behavioral,63103
American Claims Management (ACM),J1236
"American Coin Merchandising, Inc.",J1026
American Cyanamid ,J1027
American Family Health Providers,CAPMN
American Family Health Providers,CAPMN
American Family Health Providers,CAPMN
American Family Insurance,AMFAMI
American Family Insurance,AMFAMI
American Family Insurance,TH095
American Family Mutual Insurance Co,C1055
American Family Mutual Insurance Co,J2134
American Family PPO Policies,56071
American Family PPO Policies,56071
American General Life & Accident,AMGEN
American General Life & Accident,AMGEN
"American Health Advantage of FL	",31150
"American Health Advantage of FL	",31150
American Health Advantage of LA,RP088
American Health Advantage of LA,RP088
American Health Advantage of MS,31135
American Health Advantage of MS,31135
American Health Advantage of PA,PA901
American Health Advantage of PA,PA901
American Health Advantage of TN,31130
American Health Advantage of TN,31130
"American Health Advantage of TX	",31155
"American Health Advantage of TX	",31155
"American Health Advantage of UT	",31145
"American Health Advantage of UT	",31145
American Healthcare Alliance,01066
American Home Craft,J1250
American Insurance Administrators,AM-INS-ADMIN
American Insurance Company of Texas,81949
American Insurance Company of Texas,81949
American Liberty Insurance Company,41556
American Life Care,72099
American Medical Security,CX001
AMERICAN MEDICAL SECURITY (AMS)                                         ,81400
American National,J2295
American National Insurance Co Medicare Supplement,S4048
American National Insurance Co.,74048
American National Insurance Co.,74048
American National Insurance Co.,74048
American National Insurance Co.,AM-NATIONAL
American National Life Insurance Co of Texas Medicare Supplement,10596
American National Life Insurance Company of Texas,AM-NATLIFE-TX
American Network Insurance,AMNETINS
American Plan Administrators,95606
American Plan Administrators,95606
American Postal Workers Union (APWU),39026
American Postal Workers Union (APWU),39026
American Postal Workers Union (APWU),39026
American Postal Workers Union (APWU),44444
American Postal Workers Union (APWU),44444
American Postal Workers Union (APWU),APWU
American Primary Care Alliance IPA ,APCA1
American Primary Care Alliance IPA ,APCA1
American Primary Care Alliance IPA ,APCA1
American Public Life (APL),60801
American Public Life (APL),60801
American Republic Insurance,00224
American Republic Insurance,10045
American Republic Insurance Company (ARIC),42011
American Republic Insurance Company (ARIC),42011
American Specialty Companies ,J1028
American Specialty Health Plan,ASHP1
American Specialty Health Plan,ASHP1
American Specialty Ins. / MIB,J1029
American Therapy Association (ATA) - Florida,65062
American West Health Care Solution,AWHCS
American West Health Care Solution,AWHCS
American Worker Health Plan,37322
American Worker Health Plan,37322
AmeriChoice - New York Medicaid,86048
AmeriChoice - Pennsylvania Medicaid,86049
AmeriChoice Community and State,AMER-CCS
AmeriChoice of New Jersey,00091
Americo Financial Life,AMERICO
Americo Financial Life & Annuity Insurance Co Medicare Supplement,26509
Americo IPA,MLAMR
Americo IPA,MLAMR
"Amerigroup (GA, NM, DC)",26375
"Amerigroup (GA, NM, DC)",26375
"Amerigroup (GA, NM, DC)",26375
Amerigroup of Nevada,SCNAN
Amerigroup of Nevada,SCNGA
Amerigroup of Nevada ,SCNWI
Amerigroup of Nevada (Unicare),SCNUN
AmeriHealth Administrator,54763
AmeriHealth Administrator,54763
AmeriHealth Administrator,54763
AmeriHealth Administrators,11039
AmeriHealth Caritas / VIP Care,AMH-CARITAS-VIP
AmeriHealth Caritas / VIP Care,AMHC1
AmeriHealth Caritas / VIP Care,AMHC1
AmeriHealth Caritas / VIP Care,AMHC1
AmeriHealth Caritas / VIP Care Plus - Michigan,77013
AmeriHealth Caritas / VIP Care Plus - Michigan,77013
AmeriHealth Caritas / VIP Care Plus - Michigan,77013
AmeriHealth Caritas / VIP Care Plus - Michigan,AMH-VIPMI
AmeriHealth Caritas Aligned,AMH-CARITAS-ALIGN
AmeriHealth Caritas Delaware,77799
AmeriHealth Caritas Delaware,77799
AmeriHealth Caritas Delaware,77799
AmeriHealth Caritas Delaware,AMH-CARITAS-DE
AmeriHealth Caritas District of Columbia,77002
AmeriHealth Caritas District of Columbia,77002
AmeriHealth Caritas District of Columbia,77002
AmeriHealth Caritas District of Columbia,AMH-CARITAS-DC
AmeriHealth Caritas Florida,45056
AmeriHealth Caritas Florida,77003
AmeriHealth Caritas Florida,77003
AmeriHealth Caritas Florida,77003
AmeriHealth Caritas Louisiana,27357
AmeriHealth Caritas Louisiana,27357
AmeriHealth Caritas Louisiana,27357
AmeriHealth Caritas Louisiana,AMH-CARITAS-LA
AmeriHealth Caritas New Hampshire,87716
AmeriHealth Caritas New Hampshire,87716
AmeriHealth Caritas New Hampshire,87716
AmeriHealth Caritas New Hampshire,AMH-CARITAS-NH
AmeriHealth Caritas Next Delaware,47073
AmeriHealth Caritas Next Delaware,47073
AmeriHealth Caritas Next Florida,45408
AmeriHealth Caritas Next Florida,45408
AmeriHealth Caritas Next Florida,45408
AmeriHealth Caritas Next Florida,AMH-CARITAS-NEXTFL
AmeriHealth Caritas Next North Carolina,83148
AmeriHealth Caritas Next North Carolina,83148
AmeriHealth Caritas Next North Carolina,AMH-CARITAS-NEXTNC
AmeriHealth Caritas North Carolina,81671
AmeriHealth Caritas North Carolina,81671
AmeriHealth Caritas North Carolina,81671
AmeriHealth Caritas North Carolina,AMH-CARITAS-NC
AmeriHealth Caritas Northeast,AMH-CARITAS-NOEAST
Amerihealth Caritas Northeast ,SCNAC
AmeriHealth Caritas Ohio Medicaid,AH-CARITAS-OHMCD
Amerihealth Caritas Ohio Medicaid,35374
Amerihealth Caritas Ohio Medicaid,35374
Amerihealth Caritas Ohio Medicaid,35374
AmeriHealth Caritas Ohio Medicaid (Radiology Only),AH-CARITAS-OHMCD-RAD
AmeriHealth Caritas PA CHC,77062
AmeriHealth Caritas PA CHC,77062
AmeriHealth Caritas Pennsylvania,AMH-CARITAS-PA
Amerihealth Caritas Pennsylvania,22248
Amerihealth Caritas Pennsylvania,22248
Amerihealth Caritas Pennsylvania,22248
Amerihealth Caritas Pennsylvania ,SCNAC
AmeriHealth Caritas Pennsylvania Community HealthChoices,AMH-CARITAS-PACHC
AmeriHealth Caritas Pennsylvania Community HealthChoices,AMH-CARITAS-PACHC
Amerihealth Casualty Services,J3969
AmeriHealth Delaware - HMO/POS,95044
AmeriHealth Delaware - HMO/POS,95044
AmeriHealth Delaware - HMO/POS,95044
AmeriHealth Delaware (Non-HMO),93688
AmeriHealth Delaware (Non-HMO),93688
AmeriHealth Delaware (Non-HMO),93688
AmeriHealth Mercy Health Plan,22248
AmeriHealth Mercy Health Plan,22248
AmeriHealth Mercy Health Plan,22248
AmeriHealth Mercy Health Plan,AHMHP
AmeriHealth New Jersey - HMO/POS,95044
AmeriHealth New Jersey - HMO/POS,95044
AmeriHealth New Jersey - HMO/POS,95044
AmeriHealth New Jersey (Non-HMO),60061
AmeriHealth New Jersey (Non-HMO),60061
AmeriHealth New Jersey (Non-HMO),60061
AmeriHealth New Jersey (Non-HMO),AMH-NJ
AmeriHealth Pennsylvania - HMO/POS/ERISA,95044
AmeriHealth Pennsylvania - HMO/POS/ERISA,95044
AmeriHealth Pennsylvania - HMO/POS/ERISA,95044
Ameriprise,C1097
Ameriprise Auto & Home Insurance,12504
Amerisafe,J1447
Amerisafe Risk Services ,J1447
Amerisure Insurance,J1206
Ameritas,AMERITAS
Ameritas Life Insurance Corp.,61301
Ameritas Life Insurance Corporation,AMLIC
AmFed Companies LLC (Amfed National Insurance),J3735
Amfirst Insurance Company,64090
AMG IPA - Ava Medical Group,AMIPA
AMG IPA - Ava Medical Group,AMIPA
AmGuard Insurance Company - Guard DBA,J1453
​Amica Insurance Company,C1098
Amica Mutual Insurance Company,12287
Amida Care,79966
Amida Care,79966
Amida Care,79966
AMPS,21825
AMPS,21825
AMPS - CX,25667
AMPS - CX,25667
AMPS America,66775
AMPS America,66775
Amtrust Insurance Company North America,J1868
AMVI - Prospect Health Network,PROSP
AMVI - Prospect Health Network,PROSP
AMVI - Prospect Health Network,PROSP
AMVI Medical Group,PROSP
AMVI Medical Group,PROSP
AMVI Medical Group,PROSP
Anaheim Memorial IPA (MHCAN),IP095
Anaheim Memorial IPA (MHCAN),IP095
Anchor Benefit Consulting,IHS10
Anchor Benefit Consulting,IHS10
Anchor Benefit Consulting Inc.,53085
Anchor Benefit Consulting Inc.,53085
Anchor Glass Container Corporation,J2136
Angel Medical Group,SCPR1
Angel Medical Group,SCPR1
Angeles IPA,HSM01
Angeles IPA,HSM01
Angle Insurance Company of Utah,39856
Angle Insurance Company of Utah,39856
Anheuser Busch,J1620
Antares Management Solutions,34192
Antares Management Solutions,34192
Antares Management Solutions,34192
Antares Management Solutions,ANTARES
Antelope Valley Medical Associates (Regal),SMG01
Antelope Valley Medical Associates (Regal),SMG01
Anthem Blue Cross CA Encounters,HM006
Anthem Blue Cross CA Encounters,HM006
Anthem Blue Cross New York (Anthem),ANTHEM-BC-NY
Anthem Blue Cross New York (Anthem),ANTHEM-BC-NY
Anthem Blue Cross of California (BCCA),BC001
Anthem Blue Cross of California (BCCA),BC001
Anthem Blue Cross of California (BCCA),BC001
Anthem Dental (P.O. Box 1115 MN),DX554
Anthem HealthKeepers Plus,00923
Anthem HealthKeepers Plus,00923
Anthem HealthKeepers Plus,00923
Anthem Healthy Indiana Plan (HIP),00630
Anthem Healthy Indiana Plan (HIP),00630
Anthem Healthy Indiana Plan (HIP),00630
